emotion_quadrant,music_name,SVM,Random Forest,Neural Network,SVM (Q1),SVM (Q2),SVM (Q3),SVM (Q4),Random Forest (Q1),Random Forest (Q2),Random Forest (Q3),Random Forest (Q4),Neural Network (Q1),Neural Network (Q2),Neural Network (Q3),Neural Network (Q4),Fold,total_midi_events,duration,num_unique_tracks,num_unique_channels,avg_note_pitch,std_note_pitch,min_note_pitch,max_note_pitch,pitch_range,avg_note_velocity,std_note_velocity,num_note_on_events,num_note_off_events,num_set_tempo_events
Q4,Q4_d_49EtXDMFE_0,Q4,Q4,Q4,0.0157817,0.0313877,0.215603,0.737227,0,0,0.1,0.9,0.00956905,0.0322943,0.431481,0.526655,6,352,39.9922,2,1,60.1783,9.2398,40,76,36,26.9236,28.7089,314,0,1
Q1,Q1_PdwxeMPXOCk_2,Q2,Q1,Q1,0.413735,0.551016,0.0192917,0.015957,0.507143,0.492857,0,0,0.577918,0.420087,0.00177974,0.0002148,6,784,29.9622,2,1,64.8039,18.9678,31,101,70,45.9916,46.6754,714,0,1
Q4,Q4_u_7b9CwyM8Q_1,Q4,Q4,Q4,0.0126634,0.0274872,0.175928,0.783921,0.025,0.126667,0.34,0.508333,0.00425495,0.0218644,0.33162,0.64226,6,328,39.9922,2,1,56.8088,11.9874,29,84,55,23.7316,25.3237,272,0,1
Q1,Q1_8rupdevqfuI_0,Q1,Q1,Q1,0.45953,0.510837,0.014626,0.0150065,0.55,0.425,0.025,0,0.66743,0.288975,0.0248202,0.0187749,6,638,39.9922,2,1,63.0174,12.8336,30,87,57,38.8763,39.5293,574,0,1
Q2,Q2_L3_TadjSQQ0_1,Q1,Q1,Q2,0.276238,0.459263,0.204058,0.0604413,0.55,0.25,0.2,0,0.18315,0.78896,0.0229225,0.00496755,6,990,39.0026,2,1,73.2071,8.67161,50,84,34,41.1203,41.3449,956,0,1
Q2,Q2_9v2WSpn4FCw_7,Q2,Q2,Q2,0.399614,0.581821,0.00924873,0.00931724,0.3,0.7,0,0,0.210849,0.787356,0.00113966,0.000655491,6,864,32.1016,2,1,53.561,14.4191,27,79,52,44.7939,45.7785,820,0,1
Q2,Q2_Uu-oRTRT6uQ_1,Q2,Q2,Q2,0.411727,0.573871,0.00736824,0.00703389,0.342857,0.657143,0,0,0.29196,0.707684,0.000233802,0.000122401,6,1062,37.7122,2,1,61.9661,14.8405,28,88,60,47.6285,48.0748,1004,0,1
Q3,Q3_Ie5koh4qvJc_15,Q4,Q4,Q4,0.0237888,0.0560592,0.273763,0.646389,0.05,0,0.24,0.71,0.00607974,0.0523833,0.186307,0.75523,6,600,59.9922,2,1,60.8261,10.8943,33,81,48,25.9901,27.9234,506,0,1
Q1,Q1__8v0MFBZoco_1,Q2,Q2,Q2,0.331069,0.655204,0.00682986,0.00689736,0.22,0.78,0,0,0.388219,0.609618,0.00199834,0.000165319,6,978,39.9922,2,1,65.4208,16.2966,25,97,72,41.6731,42.1413,884,0,1
Q4,Q4_PK8YIUaV3Xw_1,Q4,Q4,Q4,0.0052803,0.0105555,0.180124,0.80404,0,0,0.108333,0.891667,0.00169808,0.00499745,0.234513,0.758791,6,328,39.9922,2,1,63.0213,8.21289,41,81,40,23.7589,25.0037,282,0,1
Q3,Q3_zMa78n8ULtE_0,Q4,Q3,Q3,0.0124062,0.0351755,0.356637,0.595782,0,0.02,0.727222,0.252778,0.000928871,0.0369398,0.731507,0.230625,6,252,49.9922,2,1,64.8803,13.203,24,89,65,26.4274,27.8561,234,0,1
Q4,Q4_Gcbk0GPT3-g_0,Q4,Q3,Q4,0.00242025,0.00539529,0.239882,0.752303,0.0666667,0,0.633333,0.3,0.000791144,0.0021175,0.416818,0.580274,6,378,46.8919,2,1,64.5035,12.1291,43,88,45,23.6608,25.3787,286,0,1
Q4,Q4_UaYYMRkHMYc_0,Q3,Q4,Q4,0.0771566,0.111316,0.441932,0.369596,0.146429,0.0642857,0.0142857,0.775,0.000579872,0.00397716,0.1624,0.833043,6,1108,49.9922,2,1,53.5009,9.20385,32,72,40,14.6011,15.6226,1078,0,1
Q4,Q4_E5qEloUO3SM_0,Q4,Q3,Q4,0.0170937,0.0294574,0.304259,0.64919,0,0,0.620833,0.379167,0.000315472,0.00804267,0.295613,0.696028,6,508,49.9922,2,1,54.3482,10.2999,26,76,50,17.6027,19.1328,448,0,1
Q1,Q1_vv6nrZ2myXw_3,Q1,Q1,Q1,0.480221,0.452217,0.0231122,0.044449,0.775,0.125,0.075,0.025,0.764873,0.152324,0.020061,0.0627417,6,502,29.9922,2,1,62.4848,13.08,37,87,50,38.1602,39.291,462,0,1
Q1,Q1_POaIGvLsp5M_1,Q3,Q2,Q3,0.243221,0.182443,0.381623,0.192714,0.32,0.338333,0.241667,0.1,0.197173,0.282473,0.426657,0.093697,6,448,36.6823,2,1,68.545,7.32456,54,85,31,37.5979,38.0332,378,0,1
Q3,Q3_wS0RzrBL9UI_1,Q4,Q3,Q3,0.00614091,0.0146822,0.46575,0.513427,0,0,0.513333,0.486667,2.02242e-05,6.32051e-05,0.658534,0.341383,6,338,49.9922,2,1,69.5714,8.17314,49,94,45,19.1087,22.4456,322,0,1
Q2,Q2_OCqMDeD6Fmc_0,Q2,Q2,Q2,0.287692,0.51548,0.11085,0.0859779,0.316667,0.65,0.0333333,0,0.0860586,0.861015,0.0330446,0.0198822,6,596,39.4219,2,1,51.3887,7.8493,24,63,39,40.6025,41.1725,566,0,1
Q2,Q2_61EA0xRX8gE_0,Q2,Q2,Q2,0.379363,0.61285,0.00480318,0.00298313,0.141667,0.858333,0,0,0.18431,0.812721,0.00172261,0.00124659,6,1036,39.9922,2,1,57.0524,14.0719,31,86,55,39.5985,40.6015,954,0,1
Q4,Q4_V3Y9L4UOcpk_1,Q4,Q4,Q4,0.0390485,0.0785883,0.298811,0.583552,0.12,0.0666667,0.315,0.498333,0.0253653,0.0828181,0.296614,0.595203,6,534,59.3919,2,1,66.9798,11.2736,35,87,52,32.1883,33.7119,494,0,1
Q3,Q3_wxXpvnmq_-E_2,Q4,Q4,Q4,0.0399452,0.0560056,0.172586,0.731463,0.0166667,0.0166667,0.208333,0.758333,0.0133779,0.0145048,0.293861,0.678257,6,286,38.7018,2,1,53.1846,10.2062,36,89,53,28.8692,30.6951,260,0,1
Q4,Q4_Tc684nD8CEA_2,Q4,Q4,Q4,0.063574,0.0541057,0.150425,0.731895,0.025,0.0142857,0.195714,0.765,0.122816,0.0375865,0.151402,0.688195,6,372,29.9922,2,1,60.0417,9.37342,39,79,40,27.6696,29.2856,336,0,1
Q2,Q2_qlbazHayULg_4,Q2,Q2,Q2,0.412389,0.533842,0.029939,0.0238298,0.186667,0.813333,0,0,0.387506,0.593036,0.0172071,0.00225062,6,818,39.8724,2,1,54.9122,13.7493,26,100,74,38.7886,39.6761,752,0,1
Q1,Q1_bQS8eAXAhyE_0,Q1,Q3,Q3,0.315751,0.179129,0.25891,0.246209,0.233333,0.14,0.512381,0.114286,0.208336,0.186752,0.370209,0.234703,6,390,39.9922,2,1,66.113,10.048,48,86,38,37.3446,38.4221,354,0,1
Q3,Q3_Ie5koh4qvJc_0,Q4,Q4,Q4,0.00758327,0.0134828,0.193503,0.785431,0,0,0.275,0.725,0.00213387,0.00380763,0.217639,0.77642,6,494,39.9922,2,1,57.987,9.76491,36,80,44,20.0909,21.6373,462,0,1
Q2,Q2_D5kyjnlDNZs_0,Q2,Q2,Q2,0.415855,0.572201,0.00681976,0.00512476,0.1,0.9,0,0,0.276603,0.709635,0.00878761,0.00497427,6,798,38.0026,2,1,55.376,12.9076,27,87,60,37.8787,39.3445,750,0,1
Q3,Q3_uj3Gif77SYM_2,Q4,Q4,Q4,0.0401705,0.0441654,0.183729,0.731935,0,0.0166667,0.25,0.733333,0.0329196,0.0219323,0.132051,0.813097,6,484,29.9922,2,1,56.1842,9.56005,39,78,39,24.0636,25.861,456,0,1
Q4,Q4_lQCrA2TE-fo_0,Q4,Q4,Q4,0.0301092,0.0455342,0.232169,0.692187,0.07,0,0.43,0.5,0.0180393,0.0632411,0.367103,0.551617,6,346,39.9922,2,1,59.5,7.62727,42,78,36,29.4384,30.186,292,0,1
Q3,Q3_QJlnTN7HRwE_3,Q4,Q3,Q4,0.00968868,0.0156808,0.206444,0.768187,0,0,0.602222,0.397778,0.0038804,0.0102838,0.235807,0.750029,6,326,39.9922,2,1,58.2378,11.7548,29,89,60,22.7867,24.7023,286,0,1
Q1,Q1_HY9vPoHbgaI_0,Q4,Q1,Q1,0.247524,0.183847,0.165781,0.402848,0.483333,0.116667,0.3,0.1,0.314773,0.178954,0.191651,0.314622,6,390,36.7122,2,1,63.0964,9.45796,38,81,43,33.3193,34.4506,332,0,1
Q2,Q2_ivCNV47tsRw_0,Q2,Q2,Q2,0.381891,0.578966,0.0256964,0.0134461,0,1,0,0,0.0582766,0.93931,0.00168213,0.000731203,6,966,39.362,2,1,47.1253,14.348,29,80,51,38.922,39.3884,910,0,1
Q3,Q3_2v6gJi03LlA_1,Q4,Q4,Q3,0.135172,0.102762,0.271745,0.490321,0.05,0.279167,0.2125,0.458333,0.222886,0.139801,0.396556,0.240756,6,622,39.9922,2,1,65.3357,13.3823,36,87,51,27.2821,30.4393,560,0,1
Q2,Q2_lalnGhxT3PQ_1,Q2,Q2,Q2,0.332897,0.652729,0.00913506,0.00523976,0.12,0.88,0,0,0.178896,0.816751,0.00371689,0.000636233,6,922,39.9922,2,1,56.9087,15.4872,24,89,65,37.5068,38.3184,876,0,1
Q2,Q2_f2BXXa7lPuE_0,Q1,Q1,Q2,0.380802,0.407917,0.0978376,0.113443,0.361667,0.12,0.355,0.163333,0.338425,0.402367,0.151122,0.108086,6,532,39.8516,2,1,56.5079,11.487,24,91,67,34.0138,35.096,508,0,1
Q4,Q4_jO2zX6Ul8GM_2,Q4,Q4,Q4,0.00814306,0.0161571,0.176875,0.798825,0.0714286,0.1,0.26,0.568571,0.00471548,0.0156296,0.340091,0.639564,6,410,48.9518,2,1,59.6724,12.3392,36,86,50,26.4914,27.7415,348,0,1
Q3,Q3_Ie5koh4qvJc_24,Q4,Q4,Q4,0.0164799,0.0250616,0.251914,0.706544,0,0,0.3,0.7,0.00225212,0.00502347,0.221274,0.771451,6,598,39.9922,2,1,55.2211,10.1533,35,79,44,18.6842,20.658,570,0,1
Q4,Q4_iGHgeUCPotc_0,Q4,Q4,Q4,0.0440106,0.0392056,0.144621,0.772163,0,0,0.3,0.7,0.099654,0.0249217,0.130999,0.744425,6,340,29.9922,2,1,60.5455,9.72948,40,80,40,27.5175,29.0189,286,0,1
Q2,Q2_b8HVQtIoBYU_1,Q2,Q2,Q1,0.419807,0.568274,0.00671098,0.00520853,0.276667,0.723333,0,0,0.515661,0.470842,0.00918051,0.00431627,6,736,39.9922,2,1,60.1158,13.3636,24,83,59,39.7076,40.2349,708,0,1
Q2,Q2_9v2WSpn4FCw_5,Q2,Q2,Q2,0.405827,0.5805,0.00795558,0.00571755,0.466667,0.533333,0,0,0.261416,0.732125,0.00549336,0.000965726,6,786,36.7214,2,1,55.5746,15.8755,27,87,60,41.4352,42.4223,710,0,1
Q1,Q1__kJtgm1OUNA_2,Q1,Q1,Q1,0.464513,0.467051,0.0267406,0.0416952,0.503333,0.346667,0.05,0.1,0.815998,0.147452,0.00447253,0.0320769,6,402,19.9922,2,1,68.5784,11.5144,41,93,52,43.0027,43.9488,370,0,1
Q4,Q4_HYVmgq5Y93g_1,Q4,Q4,Q4,0.00661454,0.0149265,0.231778,0.746681,0,0,0.2,0.8,0.0012982,0.0104199,0.255285,0.732997,6,462,49.9922,2,1,64.5763,8.83376,35,81,46,24.0311,26.347,354,0,1
Q1,Q1_8izVTDgBQPc_1,Q1,Q1,Q1,0.463248,0.504497,0.0162038,0.0160517,0.543333,0.216667,0.14,0.1,0.561967,0.378632,0.0238415,0.0355589,6,592,29.9922,2,1,56.1594,13.7508,30,81,51,36.0888,36.4735,552,0,1
Q2,Q2_JT1XJnVmABo_6,Q2,Q2,Q2,0.318932,0.657178,0.0119177,0.0119723,0.12,0.88,0,0,0.368532,0.627574,0.0036734,0.000221305,6,830,39.0221,2,1,67.6573,17.5902,24,99,75,42.679,43.2728,782,0,1
Q3,Q3_vVTP0DOL_2Q_0,Q3,Q3,Q3,0.060457,0.0525526,0.586748,0.300242,0.0666667,0.0333333,0.766667,0.133333,0.00516418,0.00902799,0.908466,0.0773414,6,324,36.7917,2,1,78.9091,10.8531,56,93,37,29.0552,32.0257,308,0,1
Q4,Q4_vpTguZtJAFA_1,Q4,Q4,Q4,0.0305228,0.0365005,0.180124,0.752853,0,0,0.353333,0.646667,0.0324056,0.0347727,0.179683,0.753138,6,244,28.082,2,1,61.5688,7.37084,37,78,41,26.4541,27.454,218,0,1
Q4,Q4_vJ77eDxHezE_0,Q4,Q3,Q3,0.151514,0.109712,0.33965,0.399123,0.3,0.1,0.4,0.2,0.238836,0.152122,0.450042,0.159001,6,714,38.0221,2,1,66.0615,14.2648,41,93,52,27.3138,29.4704,650,0,1
Q3,Q3_UJcnNfeCN1c_0,Q3,Q3,Q3,0.242345,0.111179,0.386087,0.260389,0.207143,0.266667,0.297857,0.228333,0.270468,0.128783,0.355343,0.245406,6,302,29.9922,2,1,72.1353,9.55839,53,87,34,34.4286,34.8807,266,0,1
Q2,Q2_QmK_SND2jAw_0,Q2,Q2,Q2,0.403574,0.545647,0.0317498,0.0190287,0.433333,0.533333,0.0333333,0,0.273695,0.697173,0.0278955,0.00123678,6,630,39.9922,2,1,56.4646,17.3376,24,92,68,41.4966,42.2498,594,0,1
Q3,Q3_REq37pDAm3A_4,Q3,Q3,Q3,0.0845012,0.0537942,0.507472,0.354232,0.1,0.0666667,0.708333,0.125,0.0347969,0.0128453,0.857079,0.0952792,6,580,45.112,2,1,74.298,10.9923,48,104,56,32.5837,34.134,490,0,1
Q3,Q3_wqc8iqbDsGM_3,Q3,Q3,Q3,0.0454959,0.114484,0.505881,0.334139,0,0,0.771429,0.228571,0.000954839,0.1852,0.702665,0.111181,6,306,46.9323,2,1,52.0726,9.40942,29,63,34,28.8185,29.9643,248,0,1
Q4,Q4_k6aLLVX1D7Y_2,Q4,Q3,Q4,0.03535,0.0300708,0.270594,0.663985,0,0.04,0.49,0.47,0.0381389,0.00813826,0.264628,0.689095,6,440,29.9922,2,1,68.2359,10.0608,48,86,38,24.1769,25.446,390,0,1
Q3,Q3_ldCQ6N9G6Mk_4,Q1,Q2,Q1,0.421024,0.420463,0.0734407,0.0850721,0.295,0.505,0.1,0.1,0.524233,0.164004,0.196579,0.115185,6,476,37.6719,2,1,61.4201,14.0739,35,96,61,39.4452,40.6045,438,0,1
Q4,Q4_Ie5koh4qvJc_20,Q4,Q3,Q3,0.0523163,0.0411281,0.359286,0.54727,0.075,0.21,0.39,0.325,0.0303884,0.0362174,0.762889,0.170505,6,506,46.8021,2,1,68.9822,15.0023,41,92,51,30.7533,31.8159,450,0,1
Q4,Q4_6kRPHamGDSo_2,Q1,Q1,Q1,0.48961,0.223368,0.147544,0.139478,0.479762,0.025,0.183333,0.311905,0.856127,0.0357808,0.0225633,0.085529,6,400,19.9922,2,1,69.2108,14.023,50,98,48,34.4486,36.2153,370,0,1
Q4,Q4_sA9ac1rod84_1,Q4,Q4,Q4,0.0210578,0.0246921,0.226207,0.728043,0,0,0.0642857,0.935714,0.00677932,0.00527122,0.236712,0.751237,6,628,36.8815,2,1,57.0508,8.8975,40,83,43,21.2102,22.3441,590,0,1
Q4,Q4_jCLgDtk695I_1,Q4,Q4,Q4,0.0410435,0.0546858,0.187542,0.716729,0,0,0,1,0.0406916,0.0279848,0.152131,0.779192,6,334,29.9922,2,1,54.987,8.44371,32,78,46,25.5877,26.8091,308,0,1
Q3,Q3_wqc8iqbDsGM_0,Q4,Q3,Q3,0.0325643,0.0287075,0.355211,0.583517,0,0.04,0.49,0.47,0.00625245,0.00587261,0.736047,0.251828,6,406,49.0117,2,1,68.7886,13.4179,38,103,65,31.0429,32.3931,350,0,1
Q2,Q2_jrVXitpLGMk_0,Q2,Q2,Q1,0.420182,0.556108,0.00985973,0.0138506,0.366667,0.633333,0,0,0.6235,0.361298,0.00651631,0.00868635,6,526,29.9922,2,1,63.1633,13.5871,26,89,63,42.2351,42.6542,502,0,1
Q4,Q4_sA9ac1rod84_0,Q4,Q4,Q4,0.0338953,0.038529,0.204547,0.723029,0.0166667,0.1,0.283333,0.6,0.0235414,0.0131599,0.144729,0.81857,6,508,29.9922,2,1,57.2437,9.92898,30,83,53,20.8803,21.9856,476,0,1
Q2,Q2_DYBBfpEx-JI_0,Q2,Q2,Q2,0.437467,0.528925,0.0187137,0.0148942,0.186667,0.813333,0,0,0.326632,0.652871,0.0162818,0.0042157,6,778,49.112,2,1,56.7577,14.0482,28,93,65,41.3,42.0272,710,0,1
Q4,Q4_fShAWhXIits_0,Q1,Q2,Q2,0.411187,0.458442,0.0749789,0.055392,0.415,0.478333,0.04,0.0666667,0.105514,0.859422,0.0159526,0.0191113,6,882,56.2721,2,1,52.9785,10.6747,26,69,43,35.5766,36.4284,744,0,1
Q3,Q3_wfXSdMsd4q8_0,Q3,Q3,Q3,0.0357667,0.0551115,0.611264,0.297858,0,0.1,0.9,0,0.000113319,0.000829152,0.972669,0.0263889,6,358,49.582,2,1,77.8012,7.85604,61,90,29,29.6615,32.1213,322,0,1
Q3,Q3_H6_7DjsbROQ_3,Q4,Q4,Q4,0.0142173,0.0269297,0.413481,0.545372,0,0,0.45,0.55,0.00133971,0.00157351,0.463234,0.533852,6,784,49.9922,2,1,64.5619,9.41043,39,80,41,18.6972,19.9598,776,0,1
Q3,Q3_c6CwY8Gbw0c_1,Q4,Q3,Q3,0.0579005,0.0277851,0.26685,0.647465,0,0.14,0.54,0.32,0.0825936,0.0368241,0.48559,0.394992,6,488,39.5221,2,1,67.7261,12.3834,39,94,55,27.7913,29.9706,460,0,1
Q1,Q1_2Z9SjI131jA_13,Q1,Q1,Q1,0.388922,0.243348,0.225426,0.142304,0.581111,0.04,0.312222,0.0666667,0.52369,0.242573,0.162354,0.0713822,6,618,37.7526,2,1,70.2008,13.4044,45,95,50,36.9076,37.632,498,0,1
Q2,Q2_JYVXM0qNQAg_1,Q2,Q2,Q2,0.317989,0.64186,0.0250282,0.0151232,0.395833,0.591667,0.0125,0,0.312109,0.66921,0.0172391,0.0014412,6,928,39.6315,2,1,63.1218,16.6746,33,98,65,34.6335,35.2608,854,0,1
Q3,Q3_wfXSdMsd4q8_1,Q1,Q3,Q3,0.324634,0.175275,0.288746,0.211346,0.227143,0.275,0.383571,0.114286,0.202253,0.197497,0.389119,0.211131,6,370,37.2917,2,1,66.72,7.95903,50,88,38,37.29,39.1545,300,0,1
Q4,Q4_vBHoSz8cJIE_4,Q4,Q3,Q4,0.0294497,0.0196497,0.298741,0.652159,0,0.05,0.65,0.3,0.00699467,0.00864999,0.467647,0.516708,6,176,35.832,2,1,67.987,10.7027,47,87,40,28.4935,31.31,154,0,1
Q2,Q2_AacIP9mDLw8_2,Q4,Q4,Q4,0.149886,0.20712,0.271323,0.371672,0.15,0.216667,0.128333,0.505,0.136168,0.246626,0.256333,0.360874,6,592,48.5521,2,1,64.2724,8.63849,37,79,42,32.0331,32.4471,514,0,1
Q1,Q1_2Z9SjI131jA_12,Q1,Q4,Q1,0.373815,0.174514,0.151571,0.3001,0.15,0.15,0,0.7,0.570675,0.125944,0.0744458,0.228935,6,580,29.9922,2,1,65.3869,10.5635,36,86,50,29.4416,30.3961,548,0,1
Q2,Q2_GwdQliEv6Z0_1,Q2,Q2,Q2,0.311565,0.644512,0.0246952,0.0192268,0.25,0.75,0,0,0.215564,0.779681,0.00440635,0.000348045,6,564,26.0117,2,1,69.0504,19.3499,25,94,69,42.6764,43.0416,516,0,1
Q1,Q1_0vLPYiPN7qY_0,Q1,Q4,Q1,0.440603,0.219379,0.0868213,0.253196,0.2,0.233333,0.223333,0.343333,0.793656,0.0588193,0.0120959,0.135428,6,366,19.9922,2,1,65.4379,12.6598,36,91,55,31.8728,33.3239,338,0,1
Q3,Q3_4Er-eFHSHA4_0,Q4,Q3,Q4,0.0175707,0.0265467,0.378815,0.577067,0,0.1,0.466667,0.433333,9.43348e-05,0.00310639,0.4119,0.584899,6,344,38.8815,2,1,53.1463,8.27379,31,67,36,16.8872,18.8032,328,0,1
Q1,Q1_9v2WSpn4FCw_6,Q1,Q1,Q1,0.45095,0.488836,0.0251286,0.0350855,0.3725,0.3,0,0.3275,0.478792,0.42936,0.0505228,0.0413252,6,458,37.0924,2,1,52.8398,11.1302,24,81,57,40.568,41.4398,412,0,1
Q2,Q2_08t73Qgjkt4_2,Q2,Q2,Q2,0.336788,0.453214,0.128719,0.0812787,0.1,0.9,0,0,0.188115,0.803955,0.00714749,0.000782904,6,1012,75.0013,2,1,59.5773,18.1896,25,90,65,39.0991,40.7066,918,0,1
Q4,Q4_iXiSFSGws-c_1,Q4,Q4,Q4,0.0634325,0.047875,0.174033,0.714659,0.025,0,0.2,0.775,0.102819,0.0581501,0.245986,0.593045,6,468,39.9922,2,1,61.8738,9.03949,42,83,41,29.4977,30.4264,428,0,1
Q1,Q1_gSwv8hZGM-s_0,Q2,Q2,Q2,0.388939,0.58976,0.0112314,0.0100695,0.05,0.95,0,0,0.404872,0.589674,0.00473229,0.000721512,6,984,39.9922,2,1,59.931,14.0733,29,101,72,39.2381,40.054,928,0,1
Q3,Q3_X1p8xcarVu0_0,Q3,Q3,Q3,0.0768673,0.102351,0.520513,0.300269,0,0.065,0.895,0.04,0.00335589,0.00573329,0.929575,0.0613358,6,340,29.9922,2,1,76.0915,5.94657,64,87,23,26.8506,28.8022,328,0,1
Q4,Q4_biROWEwkDQQ_0,Q4,Q4,Q3,0.0827416,0.163744,0.232478,0.521037,0.12,0.133333,0.313333,0.433333,0.0420052,0.182192,0.396753,0.37905,6,438,49.9922,2,1,60.6596,12.0868,28,83,55,30.9069,32.4077,376,0,1
Q4,Q4_pRuwHN-lI44_0,Q4,Q4,Q4,0.00750768,0.00809986,0.229273,0.755119,0.04,0.04,0.37,0.55,0.0052559,0.00517432,0.309577,0.679993,6,458,48.0924,2,1,65.15,9.73779,42,90,48,26.685,28.7547,400,0,1
Q4,Q4_CkjAksZstEA_0,Q4,Q3,Q4,0.0619601,0.0823532,0.417044,0.438643,0,0.025,0.548333,0.426667,0.00789148,0.0846909,0.444247,0.463171,6,246,29.9922,2,1,59.0784,4.08936,47,71,24,27.7206,28.3284,204,0,1
Q2,Q2_RiQMuhk_SuQ_3,Q2,Q2,Q2,0.377766,0.514575,0.0696943,0.037965,0.15,0.85,0,0,0.0536378,0.945615,0.000388717,0.000358961,6,1368,59.9818,2,1,47.5577,12.5865,24,81,57,35.5618,35.9919,1230,0,1
Q4,Q4_VCSDjQxAJzc_2,Q4,Q4,Q4,0.0337145,0.079329,0.256605,0.630352,0,0.0666667,0.36,0.573333,0.0062045,0.0446573,0.340798,0.60834,6,248,29.9922,2,1,53.177,10.8191,24,74,50,21.8451,24.0451,226,0,1
Q2,Q2_jTPXwbDtIpA_2,Q2,Q1,Q2,0.350608,0.609444,0.0225224,0.0174262,0.513889,0.486111,0,0,0.402977,0.593196,0.00357301,0.000254863,6,1090,39.9922,2,1,71.6545,13.9732,24,100,76,38.8973,39.5951,1042,0,1
Q2,Q2_yrvKReuwVlY_2,Q1,Q2,Q2,0.452806,0.511178,0.0172743,0.0187416,0.342857,0.657143,0,0,0.369997,0.629836,0.000131255,3.54559e-05,6,1226,48.1016,2,1,64.7853,15.2516,27,94,67,48.7521,49.476,1174,0,1
Q4,Q4_FSzOgraSKhs_0,Q4,Q4,Q4,0.0285321,0.0298382,0.124067,0.817563,0,0.1,0.11,0.79,0.0574489,0.0157013,0.120467,0.806382,6,280,29.9922,2,1,59.0345,10.2539,37,82,45,27.2198,28.5134,232,0,1
Q3,Q3_g-yM0Lsp4lc_1,Q4,Q3,Q4,0.0593198,0.0942546,0.328724,0.517702,0,0.1,0.588889,0.311111,0.031233,0.0556262,0.325885,0.587256,6,196,27.0716,2,1,52.6104,8.85195,36,72,36,28.4481,29.8683,154,0,1
Q4,Q4_VXh4IaR5C6s_0,Q4,Q4,Q4,0.00952196,0.0188305,0.249853,0.721795,0,0,0.3,0.7,0.000994905,0.00679384,0.249228,0.742983,6,536,49.9922,2,1,58.7727,7.81466,47,81,34,24.1023,25.2755,440,0,1
Q3,Q3_TonQX8XbvX8_2,Q4,Q3,Q4,0.0295534,0.0577924,0.281369,0.631285,0,0,0.566667,0.433333,0.00452172,0.0440664,0.439366,0.512046,6,390,39.9922,2,1,55.6949,8.79593,28,72,44,24.0904,25.857,354,0,1
Q1,Q1_aYe-2Glruu4_1,Q2,Q2,Q2,0.396637,0.585137,0.00919825,0.00902757,0.35,0.65,0,0,0.34644,0.653236,0.000247371,7.66402e-05,6,940,29.9323,2,1,64.3441,17.3641,29,96,67,46.9527,47.4493,866,0,1
Q4,Q4_pRuwHN-lI44_2,Q4,Q4,Q4,0.0929506,0.0314825,0.216745,0.658822,0.04,0,0.36,0.6,0.10002,0.0158098,0.152609,0.731561,6,304,29.9922,2,1,67.3577,10.5189,46,89,43,28.4672,29.8683,274,0,1
Q3,Q3_ItGNJM6skM4_0,Q1,Q4,Q2,0.261162,0.425198,0.205124,0.108516,0.108333,0.23,0.236667,0.425,0.119806,0.617275,0.0995097,0.16341,6,1018,59.9922,2,1,53.0235,11.5326,41,89,48,29.6258,30.1575,938,0,1
Q4,Q4_B3aRl8iTEKw_1,Q4,Q4,Q4,0.0168431,0.0400915,0.290234,0.652831,0.14,0.14,0.02,0.7,0.0072251,0.0231853,0.233965,0.735625,6,644,59.9922,2,1,61.7832,10.4039,41,89,48,27.236,29.1657,572,0,1
Q3,Q3_fnqb8zqHqdY_0,Q4,Q4,Q4,0.0171977,0.0377044,0.189882,0.755216,0,0,0.3,0.7,0.0055726,0.0334662,0.295553,0.665408,6,362,49.9922,2,1,61.4286,10.5057,37,83,46,30.1656,31.9222,308,0,1
Q4,Q4_1Qc15G0ZHIg_0,Q4,Q4,Q4,0.148991,0.24607,0.193844,0.411095,0,0,0.36,0.64,0.172043,0.186017,0.273779,0.36816,6,336,29.3424,2,1,56.8333,11.2482,28,76,48,29.6042,30.6024,288,0,1
Q4,Q4_jNzZCplNNyY_1,Q4,Q4,Q4,0.0299926,0.0249845,0.271953,0.673069,0,0.05,0.2625,0.6875,0.0371309,0.023209,0.322246,0.617414,6,592,49.9922,2,1,65.9569,10.4418,41,92,51,29.498,30.7782,510,0,1
Q4,Q4_UpHutdJvZMI_1,Q4,Q4,Q4,0.0418572,0.0310153,0.19028,0.736848,0,0.05,0.116667,0.833333,0.0587484,0.0277986,0.20065,0.712803,6,544,32.4818,2,1,60.5798,11.1977,33,88,55,22.8193,24.9524,476,0,1
Q1,Q1_zHwJG8Rrx6c_1,Q1,Q1,Q1,0.432804,0.389174,0.0657907,0.112232,0.528333,0.338333,0.0666667,0.0666667,0.629743,0.210351,0.0509918,0.108915,6,426,29.9922,2,1,63.0101,10.1148,44,82,38,37.7424,38.5387,396,0,1
Q3,Q3_qlbazHayULg_3,Q2,Q1,Q2,0.308944,0.592806,0.0607383,0.0375116,0.476786,0.360714,0.1375,0.025,0.368372,0.560064,0.0658181,0.00574581,6,828,39.9622,2,1,64.3975,14.8984,28,100,72,31.2838,33.1603,800,0,1
Q4,Q4_ldCQ6N9G6Mk_5,Q1,Q1,Q2,0.35669,0.43941,0.100619,0.103281,0.713333,0.286667,0,0,0.29331,0.630535,0.0397439,0.0364109,6,864,69.9922,2,1,61.0704,12.1486,35,90,55,40.0603,41.2796,796,0,1
